item_id,order_id,product_id,quantity,unit_price,discount_percent
ITM-000087,ORD-00024,PRD-0037,1,367.46,10.0
ITM-000088,ORD-00024,PRD-0037,2,149.91,10.5
ITM-000089,ORD-00025,PRD-0006,2,795.05,34.5
ITM-000090,ORD-00025,PRD-0024,4,168.1,42.4
ITM-000091,ORD-00026,PRD-0058,3,434.19,9.8
ITM-000092,ORD-00026,PRD-0004,3,326.63,30.0
ITM-000093,ORD-00026,PRD-0041,2,129.06,58.2
ITM-000094,ORD-00027,PRD-0038,5,381.76,17.4
ITM-000095,ORD-00027,PRD-0073,5,584.19,55.3
ITM-000096,ORD-00027,PRD-0062,3,720.64,8.4
ITM-000097,ORD-00027,PRD-0004,5,324.3,50.5
ITM-000098,ORD-00027,PRD-0042,4,48.75,38.5
ITM-000099,ORD-00028,PRD-0036,5,160.59,5.0
ITM-000100,ORD-00028,PRD-0012,4,780.79,23.7
ITM-000101,ORD-00028,PRD-0078,4,411.69,3.4
ITM-000102,ORD-00028,PRD-0055,3,298.86,22.4
ITM-000103,ORD-00028,PRD-0040,3,782.13,52.5
ITM-000104,ORD-00029,PRD-0057,2,594.51,24.9
ITM-000105,ORD-00030,PRD-0055,3,584.24,24.9
ITM-000106,ORD-00030,PRD-0019,5,170.19,28.5
ITM-000107,ORD-00030,PRD-0009,5,746.86,35.4
ITM-000108,ORD-00030,PRD-0053,4,512.85,16.4
ITM-000109,ORD-00031,PRD-0073,5,605.42,8.2
ITM-000110,ORD-00031,PRD-0038,2,445.32,2.5
ITM-000111,ORD-00032,PRD-0072,5,593.19,13.5
ITM-000112,ORD-00032,PRD-0039,1,765.04,50.1
ITM-000113,ORD-00032,PRD-0037,4,336.64,29.5
ITM-000114,ORD-00033,PRD-0036,1,396.97,58.2
ITM-000115,ORD-00033,PRD-0075,5,386.99,26.2
ITM-000116,ORD-00034,PRD-0016,4,301.7,44.0
ITM-000117,ORD-00034,PRD-0021,1,467.42,8.8
ITM-000118,ORD-00034,PRD-0018,4,289.12,3.2
ITM-000119,ORD-00035,PRD-0046,4,43.73,17.5
ITM-000120,ORD-00035,PRD-0024,1,612.93,35.9
ITM-000121,ORD-00035,PRD-0041,2,662.32,41.1
ITM-000122,ORD-00036,PRD-0047,3,81.19,34.8
ITM-000123,ORD-00036,PRD-0067,-2,228.73,46.7
ITM-000124,ORD-00036,PRD-0021,4,86.42,9.3
ITM-000125,ORD-00037,PRD-0072,2,492.68,49.9
ITM-000126,ORD-00037,PRD-0071,5,563.3,48.2
ITM-000127,ORD-00038,PRD-0015,4,655.98,55.4
ITM-000128,ORD-00038,PRD-0047,4,115.52,26.5
ITM-000129,ORD-00038,PRD-0044,5,141.9,18.3
ITM-000130,ORD-00038,PRD-0019,1,552.0,18.4
ITM-000131,ORD-00039,PRD-0055,2,554.2,47.0
ITM-000132,ORD-00039,PRD-0062,-1,607.08,2.6
ITM-000133,ORD-00040,PRD-0066,1,476.58,28.1
ITM-000134,ORD-00041,PRD-0002,1,604.87,46.9
ITM-000135,ORD-00041,PRD-0026,5,151.9,21.1
ITM-000136,ORD-00041,PRD-0036,1,759.29,20.9
ITM-000137,ORD-00042,PRD-0079,5,197.25,34.2
ITM-000138,ORD-00042,PRD-0002,1,425.43,42.9
ITM-000139,ORD-00043,PRD-0069,2,8.44,43.5
ITM-000140,ORD-00043,PRD-0061,2,296.34,35.4
ITM-000141,ORD-00043,PRD-0014,4,148.77,21.3
ITM-000142,ORD-00044,PRD-0030,4,329.02,45.7
ITM-000143,ORD-00044,PRD-0015,3,418.18,29.7
ITM-000144,ORD-00044,PRD-0072,3,579.1,4.9
ITM-000145,ORD-00044,PRD-0037,4,368.27,44.2
ITM-000146,ORD-00045,PRD-0038,2,788.05,25.7
ITM-000147,ORD-00045,PRD-0061,1,751.57,22.0
ITM-000148,ORD-00045,PRD-0063,1,539.32,23.8
ITM-000149,ORD-00045,PRD-0011,5,99.78,23.7
ITM-000150,ORD-00046,PRD-0022,1,56.44,58.5
ITM-000151,ORD-00046,PRD-0052,3,102.6,50.3
ITM-000152,ORD-00046,PRD-0075,4,476.95,45.4
ITM-000153,ORD-00046,PRD-0078,4,760.36,59.3
ITM-000154,ORD-00046,PRD-0059,5,90.89,15.0
ITM-000155,ORD-00047,PRD-0018,2,28.63,44.3
ITM-000156,ORD-00047,PRD-0004,1,777.8,23.0
ITM-000157,ORD-00047,PRD-0080,3,500.47,45.6
ITM-000158,ORD-00047,PRD-0060,5,165.54,39.7
ITM-000159,ORD-00048,PRD-0044,5,648.54,32.4
ITM-000160,ORD-00048,PRD-0005,1,792.62,52.8
ITM-000161,ORD-00048,PRD-0041,1,683.04,26.6
ITM-000162,ORD-00048,PRD-0072,1,529.23,46.8
ITM-000163,ORD-00049,PRD-0040,4,574.0,29.2
ITM-000164,ORD-00049,PRD-0063,1,529.76,41.1
ITM-000165,ORD-00050,PRD-0021,4,407.81,23.5
ITM-000166,ORD-00050,PRD-0049,4,495.47,21.2
ITM-000167,ORD-00050,PRD-0004,3,474.42,7.7
ITM-000168,ORD-00050,PRD-0075,3,26.39,53.5
ITM-000169,ORD-00050,PRD-0055,3,279.39,21.4
ITM-000170,ORD-00051,PRD-0032,1,191.52,18.7
ITM-000171,ORD-00051,PRD-0009,1,695.81,6.9
ITM-000172,ORD-00051,PRD-0042,-2,34.72,39.5
ITM-000173,ORD-00052,PRD-0054,5,216.96,41.8
ITM-000174,ORD-00052,PRD-0041,-5,305.3,23.4
ITM-000175,ORD-00052,PRD-0063,5,84.55,40.5
ITM-000176,ORD-00052,PRD-0044,3,137.47,18.0
ITM-000177,ORD-00053,PRD-0010,2,673.1,32.2
ITM-000178,ORD-00053,PRD-0039,3,797.0,24.1
ITM-000179,ORD-00053,PRD-0012,2,575.58,34.7
ITM-000180,ORD-00053,PRD-0009,5,455.31,31.9
ITM-000181,ORD-00054,PRD-0010,2,522.97,18.1
ITM-000182,ORD-00054,PRD-0070,3,254.12,24.9
ITM-000183,ORD-00054,PRD-0059,3,538.89,32.9
ITM-000184,ORD-00054,PRD-0067,1,690.85,34.6
ITM-000185,ORD-00055,PRD-0069,4,648.1,51.2
ITM-000186,ORD-00055,PRD-0008,4,420.2,21.9
ITM-000187,ORD-00056,PRD-0039,2,676.08,24.6
ITM-000188,ORD-00056,PRD-0053,1,217.21,17.2
ITM-000189,ORD-00057,PRD-0031,3,327.66,6.8
ITM-000190,ORD-00057,PRD-0040,-2,374.01,33.6
ITM-000191,ORD-00058,PRD-0005,4,165.58,16.4
ITM-000192,ORD-00058,PRD-0036,1,528.64,10.6
ITM-000193,ORD-00058,PRD-0063,1,626.88,3.3
ITM-000194,ORD-00058,PRD-0039,1,694.4,54.0
ITM-000195,ORD-00059,PRD-0012,3,320.53,50.4
ITM-000196,ORD-00059,PRD-0074,2,588.91,56.0
ITM-000197,ORD-00059,PRD-0075,5,759.99,55.9
ITM-000198,ORD-00059,PRD-0012,3,194.27,7.3
ITM-000199,ORD-00060,PRD-0050,3,645.64,44.6
ITM-000200,ORD-00060,PRD-0014,4,144.25,58.2
ITM-000201,ORD-00060,PRD-0076,4,49.46,32.0
ITM-000202,ORD-00061,PRD-0061,3,547.78,57.8
ITM-000203,ORD-00062,PRD-0048,3,657.99,1.3
ITM-000204,ORD-00062,PRD-0007,5,554.09,47.3
ITM-000205,ORD-00063,PRD-0040,3,512.96,42.0
ITM-000206,ORD-00063,PRD-0031,1,686.83,23.3
ITM-000207,ORD-00064,PRD-0031,3,241.45,51.6
ITM-000208,ORD-00064,PRD-0041,2,704.18,46.0
ITM-000209,ORD-00064,PRD-0036,4,693.82,49.4
ITM-000210,ORD-00064,PRD-0053,4,741.57,20.0
ITM-000211,ORD-00065,PRD-0034,1,407.54,21.1
ITM-000212,ORD-00065,PRD-0071,5,591.54,27.2
ITM-000213,ORD-00065,PRD-0024,1,505.97,47.5
ITM-000214,ORD-00065,PRD-0026,-2,504.5,18.8
ITM-000215,ORD-00066,PRD-0067,1,572.28,46.1
ITM-000216,ORD-00067,PRD-0041,5,363.93,52.4
ITM-000217,ORD-00067,PRD-0076,2,662.28,48.0
ITM-000218,ORD-00068,PRD-0024,1,317.83,22.6
ITM-000219,ORD-00068,PRD-0003,5,738.87,38.8
ITM-000220,ORD-00069,PRD-0026,1,213.12,51.1
ITM-000221,ORD-00069,PRD-0055,1,482.31,9.0
ITM-000222,ORD-00070,PRD-0016,2,16.22,31.6
ITM-000223,ORD-00070,PRD-0064,4,99.22,42.8
ITM-000224,ORD-00070,PRD-0035,2,233.93,29.7
ITM-000225,ORD-00071,PRD-0077,4,176.38,49.4
ITM-000226,ORD-00071,PRD-0053,2,635.01,1.7
ITM-000227,ORD-00072,PRD-0032,2,298.86,41.1
ITM-000228,ORD-00072,PRD-0061,4,110.9,19.4
ITM-000229,ORD-00072,PRD-0050,4,568.22,44.2
ITM-000230,ORD-00073,PRD-0008,1,46.43,55.9
ITM-000231,ORD-00073,PRD-0078,4,751.76,58.0
ITM-000232,ORD-00073,PRD-0006,5,9.26,30.3
ITM-000233,ORD-00074,PRD-0048,3,110.13,53.5
ITM-000234,ORD-00074,PRD-0034,1,140.04,29.6
ITM-000235,ORD-00074,PRD-0017,3,76.27,42.6
ITM-000236,ORD-00074,PRD-0015,4,254.05,58.7
ITM-000237,ORD-00075,PRD-0056,3,229.93,52.6
ITM-000238,ORD-00075,PRD-0034,5,415.99,26.1
ITM-000239,ORD-00075,PRD-0063,2,612.12,9.1
ITM-000240,ORD-00075,PRD-0020,4,48.38,11.0
ITM-000241,ORD-00076,PRD-0060,3,351.96,59.7
ITM-000242,ORD-00076,PRD-0046,4,791.11,33.7
ITM-000243,ORD-00076,PRD-0019,4,103.31,5.6
ITM-000244,ORD-00076,PRD-0022,3,601.2,49.4
ITM-000245,ORD-00077,PRD-0001,5,423.18,34.2
ITM-000246,ORD-00077,PRD-0032,4,615.76,40.6
ITM-000247,ORD-00077,PRD-0016,-3,318.36,35.4
ITM-000248,ORD-00077,PRD-0020,1,27.96,27.6
ITM-000249,ORD-00077,PRD-0035,4,477.39,0.3
ITM-000250,ORD-00078,PRD-0042,5,758.2,60.0
ITM-000251,ORD-00079,PRD-0007,2,642.24,17.0
ITM-000252,ORD-00079,PRD-0071,1,761.76,22.9
ITM-000253,ORD-00079,PRD-0031,4,772.21,51.9
ITM-000254,ORD-00079,PRD-0027,-1,134.54,46.8
ITM-000255,ORD-00079,PRD-0020,3,100.88,29.5
ITM-000256,ORD-00080,PRD-0078,3,109.37,39.9
ITM-000257,ORD-00080,PRD-0063,3,359.13,23.3
ITM-000258,ORD-00080,PRD-0055,3,76.73,25.4
ITM-000259,ORD-00080,PRD-0056,3,506.4,5.6
ITM-000260,ORD-00081,PRD-0029,3,519.85,42.8
ITM-000261,ORD-00081,PRD-0068,4,71.76,28.1
ITM-000262,ORD-00081,PRD-0062,1,243.81,59.1
ITM-000263,ORD-00081,PRD-0067,3,345.05,34.1
ITM-000264,ORD-00081,PRD-0006,5,413.16,30.6
ITM-000265,ORD-00082,PRD-0073,1,651.2,21.3
ITM-000266,ORD-00082,PRD-0065,5,17.93,44.4
ITM-000267,ORD-00082,PRD-0024,4,675.11,2.7
ITM-000268,ORD-00082,PRD-0039,4,254.59,43.4
ITM-000269,ORD-00083,PRD-0044,5,773.54,52.3
ITM-000270,ORD-00083,PRD-0011,2,598.89,36.2
ITM-000271,ORD-00083,PRD-0003,1,9.65,7.0
ITM-000272,ORD-00083,PRD-0059,2,554.99,52.1
ITM-000273,ORD-00084,PRD-0079,4,291.78,40.4
ITM-000274,ORD-00084,PRD-0012,4,104.45,0.8
ITM-000275,ORD-00084,PRD-0025,1,687.91,12.6
ITM-000276,ORD-00084,PRD-0056,2,674.46,51.5
ITM-000277,ORD-00084,PRD-0039,5,616.93,8.9
ITM-000278,ORD-00085,PRD-0020,1,592.33,26.7
ITM-000279,ORD-00085,PRD-0058,4,470.25,12.1
ITM-000280,ORD-00085,PRD-0051,5,45.48,0.5
ITM-000281,ORD-00085,PRD-0064,4,590.98,35.8
ITM-000282,ORD-00086,PRD-0052,3,391.45,35.5
ITM-000283,ORD-00086,PRD-0063,5,189.37,3.6
ITM-000284,ORD-00086,PRD-0041,1,444.84,16.1
ITM-000285,ORD-00086,PRD-0015,4,398.36,56.3
ITM-000286,ORD-00086,PRD-0056,3,21.54,17.3
ITM-000287,ORD-00087,PRD-0030,4,408.57,35.3
ITM-000288,ORD-00087,PRD-0060,3,109.27,17.6
ITM-000289,ORD-00088,PRD-0047,4,637.8,48.0
ITM-000290,ORD-00088,PRD-0037,2,554.1,5.2
ITM-000291,ORD-00088,PRD-0026,4,129.27,29.5
ITM-000292,ORD-00088,PRD-0064,4,246.4,12.6
ITM-000293,ORD-00089,PRD-0034,1,288.85,9.5
ITM-000294,ORD-00090,PRD-0044,1,347.34,37.1
ITM-000295,ORD-00090,PRD-0063,1,209.97,20.4
ITM-000296,ORD-00090,PRD-0072,3,217.66,9.1
ITM-000297,ORD-00090,PRD-0014,5,566.59,55.6
ITM-000298,ORD-00090,PRD-0015,4,779.85,46.9
ITM-000299,ORD-00091,PRD-0006,1,408.31,10.0
ITM-000300,ORD-00091,PRD-0047,1,129.84,17.5
ITM-000301,ORD-00091,PRD-0064,4,587.38,6.0
ITM-000302,ORD-00091,PRD-0018,3,102.77,12.1
ITM-000303,ORD-00091,PRD-0001,4,200.03,48.5
ITM-000304,ORD-00092,PRD-0011,3,216.48,42.9
ITM-000305,ORD-00092,PRD-0032,4,125.53,45.2
ITM-000306,ORD-00092,PRD-0018,4,642.41,24.8
ITM-000307,ORD-00093,PRD-0067,4,636.71,21.7
ITM-000308,ORD-00093,PRD-0002,1,575.51,31.0
ITM-000309,ORD-00093,PRD-0041,1,324.31,46.3
ITM-000310,ORD-00093,PRD-0005,4,529.84,38.5
ITM-000311,ORD-00094,PRD-0067,1,778.27,25.2
ITM-000312,ORD-00094,PRD-0041,5,727.84,0.5
ITM-000313,ORD-00094,PRD-0079,3,736.76,42.0
ITM-000314,ORD-00094,PRD-0070,4,501.37,37.1
ITM-000315,ORD-00094,PRD-0052,4,621.44,52.9
ITM-000316,ORD-00095,PRD-0050,1,581.45,44.4
ITM-000317,ORD-00096,PRD-0037,5,174.92,30.7
ITM-000318,ORD-00096,PRD-0021,3,23.62,53.4
ITM-000319,ORD-00097,PRD-0039,5,582.57,59.2
ITM-000320,ORD-00097,PRD-0048,1,211.51,30.4
ITM-000321,ORD-00097,PRD-0016,1,361.75,34.3
ITM-000322,ORD-00097,PRD-0031,1,645.28,59.3
ITM-000323,ORD-00097,PRD-0069,5,676.37,14.0
ITM-000324,ORD-00098,PRD-0074,3,539.58,42.9
ITM-000325,ORD-00098,PRD-0014,5,265.64,34.9
ITM-000326,ORD-00098,PRD-0019,3,570.75,49.7
ITM-000327,ORD-00099,PRD-0017,1,383.62,26.8
ITM-000328,ORD-00100,PRD-0072,5,417.56,23.7
ITM-000329,ORD-00100,PRD-0055,3,797.23,41.3
ITM-000330,ORD-00100,PRD-0054,4,659.93,8.7
ITM-000331,ORD-00101,PRD-0017,4,774.59,30.8
ITM-000332,ORD-00101,PRD-0028,5,367.07,2.0
ITM-000333,ORD-00102,PRD-0016,5,483.27,24.5
ITM-000334,ORD-00102,PRD-0038,1,37.02,9.2
ITM-000335,ORD-00103,PRD-0039,3,238.72,1.7
ITM-000336,ORD-00103,PRD-0076,2,340.3,56.2
ITM-000337,ORD-00103,PRD-0028,3,150.55,44.4
ITM-000338,ORD-00104,PRD-0009,1,696.99,25.1
ITM-000339,ORD-00105,PRD-0044,3,626.17,28.5
ITM-000340,ORD-00105,PRD-0018,5,406.29,27.7
ITM-000341,ORD-00105,PRD-0020,4,693.74,19.5
ITM-000342,ORD-00105,PRD-0053,5,312.85,54.0
ITM-000343,ORD-00105,PRD-0057,3,590.05,38.8
ITM-000344,ORD-00106,PRD-0040,1,451.03,7.4
ITM-000345,ORD-00106,PRD-0080,5,435.76,45.5
ITM-000346,ORD-00107,PRD-0061,5,404.6,1.1
ITM-000347,ORD-00107,PRD-0003,5,223.6,12.3
ITM-000348,ORD-00107,PRD-0069,5,487.45,24.1
ITM-000349,ORD-00107,PRD-0003,1,275.27,10.8
ITM-000350,ORD-00107,PRD-0041,1,308.7,5.5
ITM-000351,ORD-00108,PRD-0019,5,150.22,46.1
ITM-000352,ORD-00109,PRD-0022,3,51.84,57.7
ITM-000353,ORD-00109,PRD-0008,-2,241.93,5.9
ITM-000354,ORD-00110,PRD-0034,4,303.53,49.7
ITM-000355,ORD-00110,PRD-0031,1,602.95,35.2
ITM-000356,ORD-00111,PRD-0050,5,759.74,16.2
ITM-000357,ORD-00111,PRD-0053,3,57.04,1.7
ITM-000358,ORD-00111,PRD-0003,2,218.98,57.8
ITM-000359,ORD-00111,PRD-0072,1,522.98,7.5
ITM-000360,ORD-00112,PRD-0065,4,166.75,58.1
ITM-000361,ORD-00112,PRD-0022,3,626.71,32.3
ITM-000362,ORD-00112,PRD-0072,4,364.13,0.1
ITM-000363,ORD-00112,PRD-0080,4,234.95,58.3
ITM-000364,ORD-00112,PRD-0062,1,222.28,15.1
ITM-000365,ORD-00113,PRD-0028,3,470.2,30.6
ITM-000366,ORD-00113,PRD-0069,1,452.65,18.0
ITM-000367,ORD-00113,PRD-0018,4,581.43,59.9
ITM-000368,ORD-00113,PRD-0065,4,766.15,19.1
ITM-000369,ORD-00114,PRD-0058,3,222.05,39.7
ITM-000370,ORD-00114,PRD-0059,3,767.4,19.7
ITM-000371,ORD-00114,PRD-0001,2,488.99,0.3
ITM-000372,ORD-00115,PRD-0063,2,611.16,32.3
ITM-000373,ORD-00116,PRD-0057,5,539.44,21.2
ITM-000374,ORD-00117,PRD-0023,5,672.12,48.7
ITM-000375,ORD-00117,PRD-0048,1,749.32,26.7
ITM-000376,ORD-00117,PRD-0036,2,546.04,42.6
ITM-000377,ORD-00117,PRD-0079,2,502.06,48.5
ITM-000378,ORD-00118,PRD-0047,2,34.25,29.6
ITM-000379,ORD-00118,PRD-0026,5,787.49,38.3
ITM-000380,ORD-00119,PRD-0064,3,140.53,11.6
ITM-000381,ORD-00120,PRD-0009,5,472.59,44.8
ITM-000382,ORD-00120,PRD-0073,2,685.11,52.9
ITM-000383,ORD-00120,PRD-0003,3,793.6,41.6
ITM-000384,ORD-00120,PRD-0072,5,707.07,0.1
ITM-000385,ORD-00120,PRD-0007,4,683.82,19.4
ITM-000386,ORD-00121,PRD-0067,3,375.94,21.7
ITM-000387,ORD-00121,PRD-0029,1,42.34,55.1
ITM-000388,ORD-00121,PRD-0001,5,316.53,20.1
ITM-000389,ORD-00121,PRD-0029,5,782.59,25.4
ITM-000390,ORD-00122,PRD-0043,2,252.09,37.6
ITM-000391,ORD-00123,PRD-0004,1,476.06,37.6
ITM-000392,ORD-00124,PRD-0061,3,194.5,20.4
ITM-000393,ORD-00124,PRD-0067,1,636.32,56.6
ITM-000394,ORD-00124,PRD-0013,5,502.15,34.7
ITM-000395,ORD-00125,PRD-0049,1,254.06,50.9
ITM-000396,ORD-00126,PRD-0057,2,48.56,36.6
ITM-000397,ORD-00127,PRD-0008,1,449.61,17.7
ITM-000398,ORD-00127,PRD-0080,4,602.81,14.0
ITM-000399,ORD-00127,PRD-0080,5,13.43,23.0
ITM-000400,ORD-00127,PRD-0080,4,85.52,39.1
ITM-000401,ORD-00128,PRD-0076,4,158.02,6.2
ITM-000402,ORD-00129,PRD-0025,1,723.97,7.6
ITM-000403,ORD-00129,PRD-0054,5,387.71,37.3
ITM-000404,ORD-00129,PRD-0006,2,53.09,18.7
ITM-000405,ORD-00129,PRD-0046,4,252.39,53.1
ITM-000406,ORD-00129,PRD-0040,2,484.65,17.5
ITM-000407,ORD-00130,PRD-0019,5,50.57,30.4
ITM-000408,ORD-00131,PRD-0026,1,781.33,38.4
ITM-000409,ORD-00131,PRD-0044,2,155.54,28.5
ITM-000410,ORD-00131,PRD-0043,4,682.35,34.0
ITM-000411,ORD-00131,PRD-0054,3,266.25,6.3
ITM-000412,ORD-00131,PRD-0001,1,512.82,41.6
ITM-000413,ORD-00132,PRD-0062,5,589.0,57.2
ITM-000414,ORD-00132,PRD-0049,3,168.23,11.1
ITM-000415,ORD-00132,PRD-0010,1,289.52,33.3
ITM-000416,ORD-00132,PRD-0025,2,506.91,54.8
ITM-000417,ORD-00133,PRD-0026,1,162.27,10.4
ITM-000418,ORD-00133,PRD-0044,3,678.79,14.8
ITM-000419,ORD-00133,PRD-0034,-2,728.97,1.3
ITM-000420,ORD-00134,PRD-0015,4,274.01,12.6
ITM-000421,ORD-00134,PRD-0048,4,530.42,56.5
ITM-000422,ORD-00135,PRD-0009,4,99.2,53.0
ITM-000423,ORD-00135,PRD-0025,2,428.38,41.7
ITM-000424,ORD-00135,PRD-0032,3,737.21,45.8
ITM-000425,ORD-00135,PRD-0069,5,238.88,8.9
ITM-000426,ORD-00135,PRD-0036,2,698.92,51.1
ITM-000427,ORD-00136,PRD-0011,4,628.81,47.5
ITM-000428,ORD-00136,PRD-0066,5,313.55,52.9
ITM-000429,ORD-00136,PRD-0067,5,374.09,19.3
ITM-000430,ORD-00136,PRD-0062,3,573.94,29.7
ITM-000431,ORD-00136,PRD-0075,3,521.54,12.4
ITM-000432,ORD-00137,PRD-0051,4,178.78,25.5
ITM-000433,ORD-00137,PRD-0048,4,207.35,5.1
ITM-000434,ORD-00138,PRD-0046,3,187.99,2.5
ITM-000435,ORD-00139,PRD-0058,5,376.7,24.5
ITM-000436,ORD-00139,PRD-0049,4,24.65,26.5
ITM-000437,ORD-00139,PRD-0046,3,721.67,17.7
ITM-000438,ORD-00139,PRD-0011,5,629.77,55.6
ITM-000439,ORD-00139,PRD-0047,1,35.43,12.0
ITM-000440,ORD-00140,PRD-0036,3,156.56,36.2
ITM-000441,ORD-00140,PRD-0070,2,730.34,0.5
ITM-000442,ORD-00141,PRD-0052,3,756.92,49.3
ITM-000443,ORD-00141,PRD-0066,1,791.47,57.1
ITM-000444,ORD-00141,PRD-0027,4,382.18,30.9
ITM-000445,ORD-00142,PRD-0060,4,275.82,5.2
ITM-000446,ORD-00142,PRD-0054,2,171.62,27.0
ITM-000447,ORD-00142,PRD-0018,5,464.12,7.7
ITM-000448,ORD-00142,PRD-0046,1,275.16,25.1
ITM-000449,ORD-00142,PRD-0069,4,243.21,35.2
